,Home,HFG%,H3P%,HFT%,HORB,HTOV,HAST,HPTS,Away,AFG%,A3P%,AFT%,AORB,ATOV,AAST,APTS,HRFG%,HR3P%,HRFT%,HRO,HRT,HRS,HRP,ARFG%,AR3P%,ARFT%,ARO,ART,ARS,ARP,Winner,Home_elo_before,Away_elo_before,Home_elo_after,Away_elo_after,Home_sm_before,Away_sm_before,Home_sm_after,Away_sm_after
35,DAL,.396,.310,.600,14,11,12,103,GSW,.558,.385,.846,10,6,16,133,0.41346153846153844,0.3860182370820669,0.7511737089201878,8.9,7.1,14.7,97.5,0.5100354191263282,0.39820359281437123,0.832579185520362,10.0,7.6,17.0,118.1,A,1472.493541896087,1494.6678809958648,1452.3789406531532,1514.7824822387986,614.0389079512903,1339.0987151477823,613.6193175443301,1339.5183055547425
36,SAS,.444,.250,.696,18,4,20,101,TOR,.425,.270,.792,5,11,14,97,0.4258210645526614,0.3170731707317073,0.7393364928909952,13.3,7.6,13.6,97.3,0.4600231749710313,0.31076923076923074,0.8053435114503816,9.9,8.7,13.7,110.6,H,1518.569104046482,1535.8354323284627,1525.300494095848,1529.1040422790966,999.1254664977488,1385.532290180532,1015.6471263890397,1369.0106302892411
37,DEN,.488,.348,.783,9,5,23,104,WAS,.440,.300,.929,10,13,15,109,0.46274038461538464,0.39501779359430605,0.7416267942583732,10.8,7.0,16.8,103.6,0.46275395033860045,0.350597609561753,0.775974025974026,11.3,9.3,13.2,114.7,A,1504.8381913905935,1513.1989710782245,1498.0157650501685,1520.0213974186495,926.5763609579712,971.6169156852806,920.6594160889783,977.5338605542735
38,CLE,.518,.421,.773,8,5,9,119,CHI,.477,.515,.846,8,3,9,112,0.4727932285368803,0.34385964912280703,0.8240343347639485,8.5,6.2,15.5,107.2,0.3944636678200692,0.3177570093457944,0.7924528301886793,10.6,6.0,16.0,91.2,H,1503.8136376070427,1475.8627328794662,1511.3818283706682,1468.2945421158406,966.4725551423551,447.6709913146307,967.0437888886959,447.09975756828993
39,BOS,.493,.483,.815,5,11,12,110,NYK,.424,.083,.640,11,8,14,89,0.43942992874109266,0.36333333333333334,0.7344398340248963,11.2,9.2,14.0,102.6,0.4490521327014218,0.30980392156862746,0.7757009345794392,10.3,7.7,17.4,100.3,H,1496.179363936316,1476.9767498860624,1511.9489585764966,1461.2071552458817,1120.8478350425214,643.8642291541364,1122.3278867731885,642.3841774234694
40,MIN,.488,.375,.636,9,9,14,107,IND,.667,.455,.727,8,8,17,130,0.4682352941176471,0.37117903930131,0.7906976744186046,10.5,8.7,15.7,108.5,0.4699074074074074,0.3826086956521739,0.7280701754385965,9.6,7.3,13.5,106.6,A,1501.9255372130615,1478.6028524210217,1482.2796032659014,1498.2487863681818,1000.8705626137724,968.393112531107,980.5912823500993,988.6723927947802
41,POR,.375,.345,.818,18,7,18,103,NOP,.395,.300,.750,4,5,17,93,0.43271461716937354,0.37890625,0.8269230769230769,11.6,6.8,14.0,105.8,0.4728950403690888,0.346031746031746,0.7422222222222222,10.2,9.0,16.8,109.6,H,1509.17268805866,1488.1484900334287,1518.7617187371945,1478.5594593548942,1002.1242086736503,989.3152624627791,1012.0179265605645,979.4215445758648
42,LAC,.470,.345,.667,11,12,13,102,UTA,.430,.250,.818,8,7,18,84,0.4367816091954023,0.35785953177257523,0.7795275590551181,13.0,8.6,14.2,106.5,0.4693366708385482,0.3772893772893773,0.834319526627219,7.8,10.1,17.1,99.4,H,1514.0585852049849,1514.5689785445275,1529.317690170028,1499.3098735794842,878.8230266260344,1122.8145835904477,909.2119149646138,1092.4256952518683
43,DET,.522,.441,.647,12,7,14,122,MIN,.435,.360,.857,7,5,14,101,0.45475113122171945,0.3230240549828179,0.7873563218390804,11.6,8.3,13.4,103.5,0.47251461988304094,0.37662337662337664,0.7755905511811023,10.4,8.5,15.6,109.2,H,1487.2860033764211,1482.2796032659014,1503.9227620235854,1465.6428446187372,851.2925718865743,980.5912823500993,876.9224563233983,954.9613979132753
44,PHI,.443,.333,.600,12,14,14,104,HOU,.480,.308,.875,7,11,19,105,0.4610091743119266,0.39344262295081966,0.6893203883495146,10.6,9.1,17.5,106.6,0.44082125603864736,0.30092592592592593,0.7942386831275721,9.1,8.5,14.8,105.3,A,1473.7393033577482,1514.5865578150706,1470.2833469492734,1518.0425142235454,1155.572926131983,1372.8591918882687,1154.0402083720414,1374.3919096482102
45,MIA,.463,.346,.944,4,6,9,100,SAS,.553,.588,.767,8,6,13,117,0.46538024971623154,0.33753943217665616,0.75,8.2,7.6,15.5,105.9,0.4242081447963801,0.30392156862745096,0.7209302325581395,13.9,7.2,14.5,96.7,A,1509.1725792568,1525.300494095848,1495.3824757242053,1539.0905976284428,883.0864030660306,1015.6471263890397,874.6644026077336,1024.0691268473367
46,OKC,.483,.370,.692,16,8,21,114,IND,.337,.345,.857,14,13,19,96,0.45756880733944955,0.3395638629283489,0.72,10.7,11.2,15.3,105.1,0.4908045977011494,0.4017094017094017,0.7378640776699029,9.8,8.0,14.0,110.0,H,1501.7512710252151,1498.2487863681818,1516.7861111060788,1483.213946287318,973.4420619292977,988.6723927947802,989.5358768518588,972.5785778722191
47,DAL,.486,.423,.690,4,6,11,103,MEM,.458,.387,.667,6,7,17,94,0.4158767772511848,0.3761467889908257,0.7297297297297297,9.5,7.6,14.5,98.7,0.44529262086513993,0.34532374100719426,0.7692307692307693,7.4,8.0,13.1,101.6,H,1452.3789406531532,1530.8991632359657,1465.0733186194218,1518.2047852696971,613.6193175443301,654.7676140991796,624.8709963938634,643.5159352496463
48,GSW,.558,.462,.864,6,10,17,117,TOR,.457,.235,.947,17,10,16,112,0.5265017667844523,0.4059701492537313,0.8318181818181818,9.8,7.2,16.9,121.3,0.45654692931633833,0.3136094674556213,0.8223938223938224,9.5,9.1,13.8,110.7,H,1514.7824822387986,1529.1040422790966,1522.194703219645,1521.6918212982503,1339.5183055547425,1369.0106302892411,1347.336074527521,1361.1928613164625
49,LAL,.446,.233,.813,6,9,21,102,WAS,.411,.231,.652,7,11,13,99,0.4579976985040276,0.28448275862068967,0.719047619047619,9.2,8.0,17.1,101.3,0.4639175257731959,0.35135135135135137,0.7885906040268457,10.7,9.8,13.8,113.6,H,1477.3294537096122,1520.0213974186495,1483.8254554038056,1513.525395724456,763.9806072804639,977.5338605542735,774.4139683817833,967.1004994529541
50,CHI,.360,.219,.759,18,5,13,91,ATL,.395,.393,.846,7,10,10,86,0.4077102803738318,0.34615384615384615,0.8,9.8,5.3,15.2,93.4,0.46845794392523366,0.4188034188034188,0.8022598870056498,9.2,9.6,15.3,104.2,H,1468.2945421158406,1496.3140315079477,1476.0725799698453,1488.535993653943,447.09975756828993,566.9513847843654,457.4668395663951,556.5843027862602
